date,Bitcoin,isPartial
2015-01-04,3,FALSE
2015-01-11,3,FALSE
2015-01-18,2,FALSE
2015-01-25,2,FALSE
2015-02-01,2,FALSE
2015-02-08,2,FALSE
2015-02-15,2,FALSE
2015-02-22,2,FALSE
2015-03-01,2,FALSE
2015-03-08,2,FALSE
2015-03-15,2,FALSE
2015-03-22,2,FALSE
2015-03-29,2,FALSE
2015-04-05,2,FALSE
2015-04-12,2,FALSE
2015-04-19,2,FALSE
2015-04-26,2,FALSE
2015-05-03,2,FALSE
2015-05-10,2,FALSE
2015-05-17,2,FALSE
2015-05-24,2,FALSE
2015-05-31,2,FALSE
2015-06-07,1,FALSE
2015-06-14,2,FALSE
2015-06-21,2,FALSE
2015-06-28,2,FALSE
2015-07-05,2,FALSE
2015-07-12,2,FALSE
2015-07-19,2,FALSE
2015-07-26,2,FALSE
2015-08-02,2,FALSE
2015-08-09,2,FALSE
2015-08-16,2,FALSE
2015-08-23,2,FALSE
2015-08-30,2,FALSE
2015-09-06,2,FALSE
2015-09-13,2,FALSE
2015-09-20,2,FALSE
2015-09-27,2,FALSE
2015-10-04,2,FALSE
2015-10-11,2,FALSE
2015-10-18,2,FALSE
2015-10-25,2,FALSE
2015-11-01,4,FALSE
2015-11-08,3,FALSE
2015-11-15,2,FALSE
2015-11-22,2,FALSE
2015-11-29,2,FALSE
2015-12-06,4,FALSE
2015-12-13,3,FALSE
2015-12-20,2,FALSE
2015-12-27,2,FALSE
2016-01-03,2,FALSE
2016-01-10,3,FALSE
2016-01-17,3,FALSE
2016-01-24,2,FALSE
2016-01-31,2,FALSE
2016-02-07,2,FALSE
2016-02-14,3,FALSE
2016-02-21,2,FALSE
2016-02-28,2,FALSE
2016-03-06,2,FALSE
2016-03-13,2,FALSE
2016-03-20,2,FALSE
2016-03-27,2,FALSE
2016-04-03,2,FALSE
2016-04-10,2,FALSE
2016-04-17,2,FALSE
2016-04-24,3,FALSE
2016-05-01,4,FALSE
2016-05-08,2,FALSE
2016-05-15,2,FALSE
2016-05-22,2,FALSE
2016-05-29,3,FALSE
2016-06-05,3,FALSE
2016-06-12,4,FALSE
2016-06-19,4,FALSE
2016-06-26,3,FALSE
2016-07-03,3,FALSE
2016-07-10,3,FALSE
2016-07-17,2,FALSE
2016-07-24,2,FALSE
2016-07-31,3,FALSE
2016-08-07,3,FALSE
2016-08-14,2,FALSE
2016-08-21,2,FALSE
2016-08-28,2,FALSE
2016-09-04,3,FALSE
2016-09-11,3,FALSE
2016-09-18,2,FALSE
2016-09-25,2,FALSE
2016-10-02,2,FALSE
2016-10-09,3,FALSE
2016-10-16,3,FALSE
2016-10-23,3,FALSE
2016-10-30,3,FALSE
2016-11-06,3,FALSE
2016-11-13,3,FALSE
2016-11-20,3,FALSE
2016-11-27,3,FALSE
2016-12-04,3,FALSE
2016-12-11,3,FALSE
2016-12-18,4,FALSE
2016-12-25,5,FALSE
2017-01-01,7,FALSE
2017-01-08,6,FALSE
2017-01-15,4,FALSE
2017-01-22,4,FALSE
2017-01-29,4,FALSE
2017-02-05,5,FALSE
2017-02-12,4,FALSE
2017-02-19,5,FALSE
2017-02-26,6,FALSE
2017-03-05,7,FALSE
2017-03-12,6,FALSE
2017-03-19,5,FALSE
2017-03-26,5,FALSE
